username,password,bio
advisor1@utrgv.edu,password123,Expert in Artificial Intelligence
advisor2@utrgv.edu,password123,Data Science and Analytics Mentor
advisor3@utrgv.edu,password123,Cloud Computing Specialist
advisor4@utrgv.edu,password123,Blockchain Developer
advisor5@utrgv.edu,password123,Cybersecurity Expert
advisor6@utrgv.edu,password123,Software Engineering Mentor
advisor7@utrgv.edu,password123,Machine Learning Researcher
advisor8@utrgv.edu,password123,Embedded Systems Engineer
advisor9@utrgv.edu,password123,Full Stack Web Developer
advisor10@utrgv.edu,password123,Computer Networks Specialist
