username,password,bio
advisor1,password123,Expert in Artificial Intelligence
advisor2,password123,Data Science and Analytics Mentor
advisor3,password123,Cloud Computing Specialist
advisor4,password123,Blockchain Developer
advisor5,password123,Cybersecurity Expert
advisor6,password123,Software Engineering Mentor
advisor7,password123,Machine Learning Researcher
advisor8,password123,Embedded Systems Engineer
advisor9,password123,Full Stack Web Developer
advisor10,password123,Computer Networks Specialist
